# Секція категорій — можна редагувати в Excel
id,назва,emoji,порядок
protein,"Протеїни",🥛,1
gainer,"Гейнери",🏋️,2
creatine,"Креатин",⚡,3
amino,"Амінокислоти / BCAA",🧬,4
preworkout,"Передтренувальні",🔥,5
vitamins,"Вітаміни / мінерали",💊,6
fatburner,"Жироспалювачі",🔥,8
accessories,"Аксесуари",🥤,9
isotonic,"Ізотоніки",🧃,11
adaptogeny,"Адаптогени",📦,14
omega-3-ta-zhyrni-kyslot,"Омега-3 та жирні кислоти",📦,17
son-i-nervova-systema,"Сон і нервова система",📦,20
zdorovya-ta-vidnovlennya,"Здоров'я та відновлення",📦,21
krasa-i-zdorovya-shkiry-,"Краса і здоров'я шкіри, нігтів, волосся",📦,22
dlya-mozku,"Для мозку",📦,25
zdorovya-suglobiv-i-zvya,"Здоров’я суглобів і зв’язок",📦,26
nad,"NAD+",📦,28
dlya-pechinky,"Для печінки",📦,29
dlya-shlunku-ta-probioty,"Для шлунку та пробіотики",📦,30
protyzapalni-kompleksy,"Протизапальні комплекси",📦,31
gormonalna-pidtrymka,"Гормональна підтримка",📦,32
dlya-pidtrymky-sertsya-i,"Для підтримки серця і кровообігу",📦,33

# Секція товарів — можна редагувати в Excel
# Колонка E (собівартість) — для власного аналізу маржі, каса її ігнорує
id,категорія,назва,кількість,собівартість,ціна продажу
1851,protein,"Cироватковий протеїн ізолят, Nutricost, Whey Isolate (ваніль) - 2268 г",20,,4300
1944,dlya-shlunku-ta-probioty,"Натуральний проносний засіб, Pure Nutrition USA, HERBAL LAXATIVE - 60 капсул",20,,670
2093,gainer,"Гейнер, BiotechUSA, Hyper Mass (печиво) - 4000 грам",20,,3100
2156,protein,"Сироватковий протеїн концентрат, Optimum Nutrition, 100% Whey Gold Standard - 2270 грам",20,,4000
2261,creatine,"Креатин моногідрат, Gaspari, Creatine Monohydrate - 300 грам",20,,700
2266,vitamins,"Вітамін Д3, Puritan's Pride, Vitamin D3 10 000 IU - 100 капсул",20,,400
2308,accessories,"NOW Foods Таблетниця 7 Day – органайзер для таблеток на 7 днів",20,,160
2313,accessories,"NOW Foods Таблетниця 6 Day – органайзер для таблеток на 6 днів",20,,75
2340,protein,"Сироватковий протеїн концентрат, Rule One, Whey Blend - 900 грам",20,,1500
2359,vitamins,"Вітамінно-мінеральний комплекс, Sporter, Mega Sport (апельсин) - 500 мл",20,,675
2362,vitamins,"Вітамінно-мінеральний комплекс для волосся і шкіри, Sporter, Hair Skin&Nails - 500 мл",20,,665
2365,son-i-nervova-systema,"Блокатор кортизолу, Amix, The Cortisol Blockers - 60 капсул",20,,1000
2367,vitamins,"Діуретик натуральний, NOW, Water Out - 100 капсул",20,,560
2370,dlya-shlunku-ta-probioty,"Яблучний пектин, Haya Labs, Apple Pectin 500 мг - 100 капс",20,,435
2372,vitamins,"Фолієва кислота (вітамін B9), HAYA LABS, Folic Acid 800 мкг - 250 таблеток",20,,345
2374,dlya-mozku,"Гінкго білоба, HAYA LABS, Ginkgo Biloba 60 мг - 120 капс",20,,500
2376,vitamins,"Гіалуронова кислота, HAYA LABS, Hyaluronic Acid 40 мг - 30 капсул",20,,400
2378,accessories,"Шейкер, Amix, Bodybuilder Shaker - 300 мл",20,,150
2383,dlya-shlunku-ta-probioty,"Куркумін екстракт, HAYA LABS, Curcumin /Turmeric Extract/ 500 мг - 60 капсул",20,,350
2386,accessories,"Пляшка для води, Amix, Water Bottle - 2200 мл",20,,300
2390,vitamins,"Мультивітамінний комплекс (анімал пак), Universal, Animal Pak (ЄС) - 44 пакетики",20,,2400
2392,amino,"Амінокислоти BCAA, FA, BAD ASS BCAA 8-1-1 - 400 грам",20,,900
2396,protein,"Сироватковий протеїн комплексний, RedCon1, Ration Whey (ваніль) - 2200 грам",20,,3000
2397,protein,"Сироватковий протеїн комплексний, PVL (Pure Vita Labs), Mutant Whey - 908 грам",20,,1300
2402,gainer,"Гейнер, Olimp, MAX Mass 3XL (шоколад) - 6000 грам",20,,3200
2404,protein,"Сироватковий протеїн комплексний, Nutrex Research, 100 % Whey Protein (печиво) - 2265 грам",20,,3500
2413,creatine,"Креатин моногідрат, Everbuild, Creapure Creatine Monohydrate 5000 - 200 грам",20,,600
2421,amino,"Амінокислоти BCAA, Everbuild, Cryo Cell BCAA 8:1:1 (голуба малина) - 492 грам",20,,880
2423,amino,"Глютамін, Everbuild, Glutamine 5000 мг - 300 грам",20,,600
2437,amino,"Цитрулін малат, Everbuild, Citrulline Malate - 200 грам",20,,530
2439,amino,"Амінокислоти BCAA, XTEND, 7gram BCAA (лимон і лайм) - 1220 грам",20,,2500
2442,protein,"Сироватковий протеїн комплексний, BSN, Syntha-6 (лохина) - 1320 грам",20,,2000
2445,son-i-nervova-systema,"ГАМК (Габа), Haya Labs, Gaba 500 мг - 100 капсул",20,,435
2447,fatburner,"Гарцинія камбоджійська екстракт, Haya Labs, Garcinia Cambogia 500 мг - 90 капсул",20,,460
2449,son-i-nervova-systema,"ГАМК (Габа), Swanson, Gaba 500 мг - 100 капсул",20,,380
2452,son-i-nervova-systema,"ГАМК (Габа), GymBeam, Gaba 500 1000 мг - 240 капсул",20,,540
2454,preworkout,"Гуарана екстракт, Haya Labs, Guarana 900 мг - 60 таблеток",20,,470
2456,amino,"Гідроксиметилбутират (ГМБ), Haya Labs, HMB 1000 мг - 100 таблеток",20,,680
2458,vitamins,"Біотин (Вітамін B7), Haya Labs, Biotin 5000 мкг - 60 капсул",20,,365
2460,dlya-shlunku-ta-probioty,"Комплекс ферментів, Sporter, Enzyme+ - 60 капсул",20,,325
2471,amino,"Аргінін, Sporter, L-Arginine 700 мг - 200 капс",20,,425
2473,amino,"Амінокислоти BCAA, Sporter, Micronized BCAA 2:1:1 - 200 капсул",20,,390
2488,vitamins,"Мультивітамінний комплекс, MuscleTech, Platinum Multivitamin - 90 таблеток",20,,900
2489,vitamins,"Мультивітамінний комплекс, MuscleTech, Platinum Multivitamin - 180 таблеток",20,,1500
2493,omega-3-ta-zhyrni-kyslot,"Омега-3, риб’ячий жир, Nature's Truth, Triple Strength Fish Oil 1400 мг - 60 капсул",20,,850
2496,dlya-shlunku-ta-probioty,"Хлорофіл рідкий, MST®, CHLOROPHYLL liquid (🍃м’ятний) - 1000 мл",20,,2250
2500,dlya-shlunku-ta-probioty,"Подорожник (псиліум), NOW, Whole Psyllium Husks - 454 грам",20,,570
2503,vitamins,"Гіалуронова кислота, Sambugra, Hyaluronic Acid 1000 мг - 60 капсул",20,,1150
2508,fatburner,"L-карнітин, Vplab, L-Carnitine Capsules 1500 мг (500 мг в 1 капсулі) - 90 капсул",20,,800
2511,amino,"Аргінін, Doctor's Best, Pure L-Arginine Powder - 300 грам",20,,850
2514,omega-3-ta-zhyrni-kyslot,"Лінолева кислота (КЛК), Nutrex Research, CLA 1000 мг - 180 капсул",20,,1200
2517,preworkout,"Передтренувальний комплекс, VMI Sports, KXR (patriot pop)- 270 грам",20,,1200
2520,amino,"Агматин, Ronnie Coleman, Vital Edition, Pump XS™, 500 мг - 60 капсул",20,,900
2523,preworkout,"Передтренувальний комплекс, Metabolic Nutrition, ESP® Pre-Workout (фруктовий пунш) - 300 грам",20,,1200
2527,fatburner,"Комплекс для сну (нічний жироспалювач), Gaspari Nutrition, Cytolean Night Time - 90 капсул",20,,1500
2530,creatine,"Креатин моногідрат , SIXSTAR, Creatine X3™ (фруктовий пунш) - 993 грам",20,,1500
2534,adaptogeny,"Родіола екстракт 1%, HS Labs, Rhodiola 1% Extract 300 мг – 90 таблеток",20,,400
